include,title,description,keywords,type,type_title,type_subtype,publication_date,conceptdoi,conceptrecid,doi,id,authors,language
NO,A Family Cars- Life Cycle Cost (LCC)-Oriented Hybrid Modelling Approach Combining ANN and CBR,"Design for cost (DFC) is a method that reduces life cycle cost (LCC) from the angle of designers. Multiple domain features mapping (MDFM) methodology was given in DFC. Using MDFM, we can use design features to estimate the LCC. From the angle of DFC, the design features of family cars were obtained, such as all dimensions, engine power and emission volume. At the conceptual design stage, cars- LCC were estimated using back propagation (BP) artificial neural networks (ANN) method and case-based reasoning (CBR). Hamming space was used to measure the similarity among cases in CBR method. Levenberg-Marquardt (LM) algorithm and genetic algorithm (GA) were used in ANN. The differences of LCC estimation model between CBR and artificial neural networks (ANN) were provided. ANN and CBR separately each method has its shortcomings. By combining ANN and CBR improved results accuracy was obtained. Firstly, using ANN selected some design features that affect LCC. Then using LCC estimation results of ANN could raise the accuracy of LCC estimation in CBR method. Thirdly, using ANN estimate LCC errors and correct errors in CBR-s estimation results if the accuracy is not enough accurate. Finally, economically family cars and sport utility vehicle (SUV) was given as LCC estimation cases using this hybrid approach combining ANN and CBR.","- case-based reasoning
- life cycle cost (LCC)
- artificialneural networks (ANN)
- family cars",publication,Journal article,article,2011-07-26,10.5281/zenodo.1081190,1081190,10.5281/zenodo.1081191,1081191,"- Xiaochuan Chen
- Jianguo Yang
- Beizhi Li",eng
NO,A fork in the alphabet soup: DoeDat a multilingual crowdsourcing platform,"Specimen labels are written in numerous languages and accurate interpretation requires local knowledge of place names, vernacular names and people's names. In many countries more than one language is in common usage. Belgium, for example, has three official languages. Crowdsourcing has helped many collections digitize their labels and generates useful data for science. Furthermore, direct engagement of the public with a herbarium increases the collection's visibility and potentially reinforces a sense of common ownership. For these reasons we built DoeDat, a multilingual crowdsourcing platform forked from Digivol of the Australian Museum (Figs 1, 2). Some of the useful features we inherited from Digivol include a georeferencing tool, configurable templates, simple project management and individual institutional branding.

Running a multilingual website does increase the work needed to setup and manage projects, but we hope to gain from the broader engagement we can attract. Currently, we are focusing our work on Belgian collections were Dutch and French are the primary languages, but in the future we may expand our languages when we work on our international collections. We also hope that we can eventually merge our code with that of Digivol, so that we can both benefit from each other's developments.","- public engagement
- internationalization
- citizen science
- herbarium
- transcription
- data capture",publication,Journal article,article,2018-05-17,,1252559,10.3897/biss.2.25148,1252560,"- Groom, Quentin
- Bogaerts, Ann
- Veríssimo Pereira, Nuno
- De Smedt, Sofie",
NO,A framework for addressing ethical issues in citizen science,"The collaboration between laypeople and professional scientists known as ""citizen science"" is an important trend in research and data gathering. Citizen science offers important benefits to science and society. For example, citizens can help scientists with data collection and provide advice on research design and implementation. Citizens can also gain a better understanding of scientific concepts and methods. Additionally, citizens can help scientists better understand and address issues of concern to their families and communities. However, citizen science also raises ethical issues that should be addressed when projects begin and throughout the course of scientific investigation. To promote ethical research, scientists should develop guidelines for involvement of citizens in research, communicate effectively with participants and local communities at the outset of their involvement in research projects, carefully oversee their work, develop appropriate publication practices, and provide lay-volunteers with education and training on the responsible conduct of research. Researchers also need to be cognizant of clarifying these roles and responsibilities as well as promoting appropriate and safe citizen participation and transparency of the study methods, data analysis, and communication of results.",,publication,Journal article,article,2015-06-06,,1258926,10.1016/j.envsci.2015.05.008,1258927,"- Resnik, David B.
- Elliott, Kevin C.
- Miller, Aubrey K.",
NO,"A guide to the identification of the terrestrial Isopoda of Maryland, U.S.A. (Crustacea)","The terrestrial isopod fauna of Maryland is inferred using the taxonomic literature, internet-based citizen science projects, and original collecting. Twenty-two species are either known or are likely to occur in the state. This includes 17 mostly-European adventive species that comprise the vast majority of records. Of the five expected native species, three occur in or near marine or estuarine littoral habitats and each has yet to be recorded or recorded from only a single locality. This situation likely reflects the long history of systematic work on the European fauna and the availability of keys for the identification of these taxa, which contrasts with the limited taxonomic work on native species. A taxonomic key, illustrations, and brief descriptions of species known or expected to occur in Maryland are provided.","- Animalia
- Arthropoda
- Malacostraca
- Isopoda
- Cephalornis
- Coelenterata
- Bilateria
- Nephrozoa
- Protostomia
- Ecdysozoa
- Circumscriptional names of the taxon under
- Notchia
- Crustacea
- Oniscidea
- taxonomy
- taxonomic key",publication,Journal article,article,2018-12-03,,2191974,10.3897/zookeys.801.24146,2191975,"- Shultz, Jeffrey W.",
NO,A Low-Cost Vision-Based Unmanned Aerial System for Extremely Low-Light GPS-Denied Navigation and Thermal Imaging,"This paper presents the design and implementation details of a complete unmanned aerial system (UAS) based on commercial-off-the-shelf (COTS) components, focusing on safety, security, search and rescue scenarios in GPS-denied environments. In particular, The aerial platform is capable of semi-autonomously navigating through extremely low-light, GPS-denied indoor environments based on onboard sensors only, including a downward-facing optical flow camera. Besides, an additional low-cost payload camera system is developed to stream both infra-red video and visible light video to a ground station in real-time, for the purpose of detecting sign of life and hidden humans. The total cost of the complete system is estimated to be $1150, and the effectiveness of the system has been tested and validated in practical scenarios.","- Unmanned aerial system
- commercial-off-the-shelf
- extremely low-light
- GPS-denied
- optical flow
- infrared video.",publication,Journal article,article,2015-10-02,10.5281/zenodo.1109889,1109889,10.5281/zenodo.1109890,1109890,"- Chang Liu
- John Nash
- Stephen D. Prior",eng
NO,"A multi-access identification key based on colour patterns in ladybirds (Coleoptera, Coccinellidae)","An identification key based on French ladybird colouration is proposed for the tribes Chilocorini, Coccinellini, and Epilachnini. These tribes were chosen based on their relatively limited species diversity, as well as their large size and high colour diversity, making them easy to observe and collect. The identification key runs on Xper3 software, which allows the building of structured knowledge bases and online free-access keys. The online interactive Xper key is available at http://french-ladybird.identificationkey.fr.","- Animalia
- Arthropoda
- Insecta
- Coleoptera
- Coccinelloidea
- Coccinellidae
- Citizen science
- Coccinellidae
- Coccinellini
- Chilocorini
- Epilachnini
- France
- interactive identification keys
- ladybirds
- Xper",publication,Journal article,article,2018-05-14,,1250573,10.3897/zookeys.758.22171,1250574,"- Jouveau, Séverin
- Delaunay, Mathilde
- Vignes-Lebbe, Régine
- Nattier, Romain",
NO,A Multi-platform Mobile Application to Collect Citizen Science Data for Bignoniaceae Phenological Research,"The implementation of Citizen Science in biodiversity studies has led the general public to engage in environmental actions and to contribute to the conservation of natural resources (Chandler et al. 2017). Smartphones have become part of the daily lives of millions of people, allowing the general public to collect data and conduct automatic measurements at a very low cost. Indeed, a series of Citizen Science mobile applications have allowed citizens to rapidly record specimen observations and contribute for the development of large biodiversity databases around the World. Citizen Science applications have a multitude of purposes, as well as target a variety of taxa, biological questions and geographical regions.

Brazil is a megadiverse country that includes many threatened species and Biomes. Conversation efforts are urgent and the engagement of the civil society is critical. Brazilian dry and wet forests are dominated by members of the plant family Bignoniaceae, all of which are characterized by beautiful trumpet-shaped flowers and a big-bang flowering strategy. Species of the Neotropical Bignoniaceae trees are popularly known in Brazil as ""Ipê"" and are broadly cultivated throughout the country due to the showy flowers and strong wood. Different species have different flower colors, making its identification relatively easy. The showy and colorful flowers are extremely admired by the local population and the media. Flowering of ""Ipês"" is triggered by dry climate, lower temperatures and increasing day-light, making this group an excellent model for phenological and climatic studies involving Citizen Science.

Here, we developed a multi-platform mobile application focused on the plant family Bignoniaceae that allows users to contribute phenological data for species from this plant family. More specifically, through this application the user is able to provide data about specimen locations, phenology and date, all of which can be validated by a photograph. This platform is based on React Native, a hybrid app framework that helps the developers to reuse the code across multiple mobile platforms, a development much more efficient and with efforts focused on the user experience. This technology uses Javascript as programming language and Facebook React as a basis for development. The system is similar to other CS apps such as iNaturalist. Namely, the overall observations improve the quality of the ranking through positive feedback from the community, strengthening the network of interactions between users and encouraging active participation. On the other hand, the application allows users to access all previously stored observations, which, in turn, can suggest improvements to that particular observation. Furthermore, observations without a correct ID can be stored until others can suggest a correct identification, maximizing the value of individual observations and data gathered.

An important aspect of this mobile application is the participation of a network of experts on this plant family, allowing a rapid and accurate verification of individual observations. This team of Bignoniaceae experts is also able to make full use of the data gathered by correlating climate and phenological patterns. Results from these analyses are provided to the citizens gathering the data which will, in turn, stimulate the collection of new data, especially in poorly sampled locations. This is a very dynamic mobile application, that aims to engage the civil society with true scientific research, stimulating the management of natural resources and conservation efforts. Through this mobile app, we hope to engage the general public into biodiversity studies by improving their knowledge on an iconic group of Brazilian plants, while contributing data for scientific studies. The system is expected to be released in May and will be available at ipesdobrasil.org.br.","- Citizen Science
- Bignoniaceae
- Mobile Application",publication,Journal article,article,2018-04-06,,1249089,10.3897/biss.2.25582,1249090,"- Leocadio, Jailson
- Veiga, Allan
- Barbosa, Matheus
- Albertini, Bruno
- Lohmann, Lúcia
- Saraiva, Antonio",
,"A Reportage about the Research Cluster: The Past for the Present, 2018","The cluster The Past for the Present – International Research and Educational Programme has been established by the Faculty of “Artes Liberales” of the University of Warsaw, Fakultät für Sprach- und Literaturwissenschaften of the Ludwig-Maximilians-Universität München, and Dipartimento di Storia Culture Civiltà and Dipartimento di Filologia Classica e Italianistica of the Università di Bologna. We aim at developing the studies into the ancient tradition as a marker of transformations underway across the world. A collaboration with schools and dissemination of research results are very important to us. We wish to acknowledge the projects Our Mythical Childhood (ERC Consolidator Grant) and Chasing Mythical Beasts (Alexander von Humboldt Foundation Alumni Award) in the developement of our endeavours. This short reportage presents the main ideas of our work.

Video by Krzysztof Korwin-Piotrowski, idea and scholarly supervision by Katarzyna Marciniak, English proofreading by Elżbieta Olechowska. 

The movie is available also here: https://www.youtube.com/watch?v=HfypV5PUMUc&t=1s. ","- OurMythicalChildhood
- Cluster
- Classical Antiquity
- reception studies
- education
- citizen science",video,Video/Audio,,2018-09-10,10.5281/zenodo.2620122,2620122,10.5281/zenodo.2620123,2620123,"- Korwin-Piotrowski, Krzysztof",eng
NO,A Review of the Capacity for OpenStreetMap Software in Humanitarian Disaster Response: A Case Study Investigating the Humanitarian OpenStreetMap Team Response to the 2015 Nepalese Earthquake,"Citizen science includes networks of ordinary people acting as sensors, observing and recording information for science. The Humanitarian OpenStreetMap Team (HOT) is one such sensor network working to empower citizens to collaboratively produce a global picture from free geographic information. The success of such open source software is extended by the development of freely used open databases for the user community. Participating citizens do not require a high level of skill. Final results are processed by professionals following quality assurance protocols before map information is released. ","- Nepalese Earthquake, OpenStreetMap, sensors",publication,Journal article,article,2017-03-15,,790139,10.5281/zenodo.399298,399298,"- Rieger, Courtney",
NO,A REVIEW: ENVIRONMENTAL MONITORING APPLICATIONS USING WIRELESS SENSOR TECHNOLOGY,"With a broad research on wireless sensor technology,the sensor network has proven its significance in today�s modernizing world. In this paper a wireless sensor network system is proposed with open source hardware and software pla tform i.e Raspberry pi microcomputer which act as a base station,zigbee and a graphical user interface for user friendly application. This system is highly effective both in terms of nu mber of sensors and the type of the sensors. This system provides low cost and feasible solution in the area of environmental monitoring application. A detail review of how actually this s ystem will work and the expected outcome based on theoretical basis are presented in this pa per. Raspberry pi is cheap,small,hackable computer linux board. Comparative analysis shows th at the performances with wireless sensor nodes using raspberry pi has more successful usage in sensor network domain and remains inexpensive throughout.

https://www.ijiert.org/paper-details?paper_id=140450","- Raspberry Pi,
- Graphical User Interface(GUI).
- Sensor node,",publication,Journal article,article,2015-12-20,10.5281/zenodo.1474140,1474140,10.5281/zenodo.1474141,1474141,- Krishna M. Biradar,eng
NO,"A scaling down mapping of Pinna nobilis (Linnaeus, 1758) through the combination of scientific literature, NATURA 2000, grey literature and citizen science data","This research investigates the occurrence of Pinna nobilis (Linnaeus, 1758) in the Mediterranean Sea, where it is an endemic and the largest bivalve species. Such a species is protected under the European Council Directive 92/43/EEC since 1992, being exposed to anthropogenic impacts. The distribution of this species has been known, in the past, only from reports in scientific literature. Presently, the concerns, threats and risks for P. nobilis are increasing and a more detailed mapping of the actual distribution from a largest to a local spatial scale is essential for the implementation of monitoring, management and conservation actions. Here we provide a systematic review on the occurrence of P. nobilis, employing and combining different sources of information, such as scientific and grey literature, NATURA 2000 geodata and citizen science records. The methodological approach is a pilot test based on a scaling down of the geographical area of study, from the whole of the Mediterranean Sea to the Italian and Apulian coastline (South-East Italy); accordingly, the above mentioned sources of data have been gradually included. The results show that the combination of multiple sources of information provide a more exact determination of the species distribution at a local scale, identifying sites where in-depth actions are required to ensure the species conservation and restoration. Also, the IUCN has recently underlined that the conservation of P. nobilis has become a difficult challenge, so that each of the spatial scales for the investigation is crucial to enable a better preservation and conservation of the species in the Mediterranean Sea.","- Pen shell
- endangered species
- Mediterranean Sea endemism
- geographical scaling down
- conservation and restocking",publication,Journal article,article,2019-04-18,,2651762,10.3897/natureconservation.33.30397,2651763,"- Marrocco, Vanessa
- Zangaro, Francesco
- Sicuro, Alessandro
- Pinna, Maurizio",
NO,A shallow-living benthic Rhodaliid siphonophore: citizen science discovery from Papua New Guinea,"Mapstone, Gillian M. (2017): A shallow-living benthic Rhodaliid siphonophore: citizen science discovery from Papua New Guinea. Zootaxa 4324 (1): 189-194, DOI: https://doi.org/10.11646/zootaxa.4324.1.11","- Biodiversity
- Taxonomy",publication,Journal article,article,2017-09-26,,997150,10.11646/zootaxa.4324.1.11,997151,"- Mapstone, Gillian M.",
NO,A Shift Towards Iterative and Open-Source Design for Musical Interfaces,"The aim of this paper is to define the process of iterative interface design as it pertains to musical performance. Embodying this design approach, the Monome OSC/MIDI USB controller represents a minimalist, open-source hardware device. The open-source nature of the device has allowed for a small group of Monome users to modify the hardware, firmware, and software associated with the interface. These user driven modifications have allowed the re-imagining of the interface for new and novel purposes, beyond even that of the device's original intentions. With development being driven by a community of users, a device can become several related but unique generations of musical controllers, each one focused on a specific set of needs.",,publication,Conference paper,conferencepaper,2010-06-01,10.5281/zenodo.1177918,1177918,10.5281/zenodo.1177919,1177919,"- Vallis, Owen
- Hochenbaum, Jordan
- Kapur, Ajay",
