include,source,title,authors,url,doi
NO,google scholar,DO-IT YOURSELF BIOLOGY,P van Boheemen and H de Vriend,https://www.lisconsult.nl/files/docs/CGM_2014-03_Do-It-Yourself_Biology_een_verkenning_van_ontwikkelingen_in_Nederland.pdf,
NO,google scholar,Do-it-yourself biology: Action research within the life sciences?,S Golinelli and G Ruivenkamp,https://journals.sagepub.com/doi/abs/10.1177/1476750315586636,
NO,google scholar,Do-it-yourself instruments and data processing methods for developing marine citizen observatories,SP Freixes,https://www.researchgate.net/profile/Sergi_Pons_Freixes/publication/308557340_Do-it-yourself_instruments_and_data_processing_methods_for_developing_marine_citizen_observatories/links/57e6efc508aed7fe466a13f1.pdf,
SI,google scholar,Do-it-yourself instruments and data processing methods for developing marine citizen observatories,S Pons Freixes,https://upcommons.upc.edu/handle/2117/96349,
SI,zenodo,DocuScooter: An innovative underwater scooter add-on for scuba diving Citizen Science,"- Panebianco, Luca
- Scaradozzi, David
- Ciuccoli, Nicolò
- Zingaretti, Silvia
- Costa, Daniele
- Altepe, Corentin
- Egi, Murat S
- Palma, Marco
- Pantaleo, Ubaldo
- Ferraris, Davide
- Micheli, Fiorenza",,10.15406/iratj.2017.02.00010
NO,zenodo,"DoeDat, the Crowdsourcing Platform of Meise Botanic Garden","- Groom, Quentin
- De Smedt, Sofie
- Veríssimo Pereira, Nuno
- Bogaerts, Ann
- Engledow, Henry",,10.3897/biss.2.26803
NO,zenodo,Doing It Together Science - the World needs more Citizen Science,- Waag,,10.5281/zenodo.3233452
NO,google scholar,Doing It Together science: D3. 2 Innovation Hubs,DITOs Consortium,http://discovery.ucl.ac.uk/1573354/1/DITOs-D3.2-20170831.pdf,
NO,google scholar,"Doing It Together Science: D6. 6 Innovation Management Plan:"" Making citizen science work""",DITOS Consortium,http://discovery.ucl.ac.uk/id/eprint/10063266,
NO,google scholar,"Domains, Publics and Access. A Wiki In Progress On Access Archaeology.",PS Domínguez,https://dpya.org/wiki/images/a/a0/2017_Domains_Publics_and_Access._A_Wiki.pdf,
SI,google scholar,"Drogon, the Thermal-Sensing Drone: Exploring Aerial Imagery as a Tool for Citizen Science Research",H Kim and K Hoefer and A Rodriguez Vega…,https://dl.acm.org/citation.cfm?id=3323910,
NO,zenodo,DS3_DITOs_Capacity_Building_Tools_Results-events-database,- DITOs consortium,,10.5281/zenodo.3274476
NO,zenodo,DSpace – institutional repositories – dissemination of research results: A local case study,"- Rajović, Vasilije
- Kosanović, Biljana
- Ševkušić, Milica",,10.5281/zenodo.1411159
NO,zenodo,Dvadeset pet godina R programskog jezika,"- Krstajić, Damjan",,10.5281/zenodo.1469763
NO,google scholar,Dynamic roles in smart city development,H Nijman,http://essay.utwente.nl/66534/,
NO,google scholar,Economic resilience and crowdsourcing platforms,KL Smith and I Ramos and KC Desouza,http://www.scielo.br/scielo.php?pid=S1807-17752015000300595&script=sci_arttext,
NO,zenodo,ECSA EIE WG - presentation Daniela Soleri,"- Göbel, Claudia
- Soleri, Daniela",,10.5281/zenodo.3243402
NO,zenodo,ECSA EIE WG - presentations Philipp Schrögel & Christian Humm and Rick Hall,"- Göbel, Claudia
- Schrögel, Philipp
- Humm, Christian
- Hall, Rick",,10.5281/zenodo.3243411
NO,google scholar,EDI ORIAL NO ES,M OʼNeil and S Collins,http://peerproduction.net/wp-content/uploads/2019/04/Journal-of-Peer-Production-Issue-13_-Editorial-Notes.pdf,
NO,google scholar,Educational outdoor mobile robot for trash pickup,K Pattanashetty and KP Balaji…,https://ieeexplore.ieee.org/abstract/document/7857304/,
NO,google scholar,ELISAVET ATHANASIA ALEXIADOU 261-283,G COMANDE and G SCHNEIDER and RN NWABUEZE…,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/eurjhlb25&section=25,
NO,zenodo,Embedding Computer Vision in Citizen Science,"- August, Tom
- Terry, J
- Roy, David",,10.3897/biss.3.37085
NO,google scholar,"Emerging Applications of Wireless Sensing in Entertainment, Arts and Culture",JA Burke,https://link.springer.com/chapter/10.1007/978-3-642-40066-7_18,
NO,google scholar,"Emerging sites of HCI innovation: hackerspaces, hardware startups & incubators",S Lindtner and GD Hertz and P Dourish,https://dl.acm.org/citation.cfm?id=2557132,
NO,google scholar,Emerging Technologies and Changing Practices in Science Classrooms,JA Craven III and T Hogan,https://books.google.com/books?hl=es&lr=&id=fbZGDwAAQBAJ&oi=fnd&pg=PA93&dq=(%22open-source+hardware%22+OR+%22open-design+movement%22+OR+%22open+design%22+OR+%22open+hardware%22+OR+%22open+machine+design%22)+AND+(%22citizen+science%22+OR+%22community+science%22+OR+%22crowd+science%22+OR+%22crowd-sourced+science%22+OR+%22civic+science%22+OR+%22volunteer+monitoring%22)&ots=yZk2aKcjp5&sig=3sQyPa-bGvfa3YePObYT156JL0Q,
SI,google scholar,emerging technologies for biometeorology,H Mehdipoor and JK Vanos and R Zurita-Milla…,https://link.springer.com/article/10.1007/s00484-017-1399-9,
NO,zenodo,Empowering citizen science through free and open source GIS,"- Arias de Reyna, Maria
- Simoes, Joana",,10.1186/s40965-016-0008-x
NO,google scholar,Empowerment by design,G Muratovski,https://www.ingentaconnect.com/content/intellect/dbs/2016/00000002/00000002/art00001,
NO,google scholar,Enabling active participation in the Smart Grid through crowdsourced power quality data,PM Johnson,,
NO,zenodo,Enabling Open Science: Wikidata for Research,"- Mietchen, Daniel
- Hagedorn, Gregor
- Willighagen, Egon
- Rico, Mariano
- Gomez-Perez, Asuncion
- Aibar, Eduard
- Rafes, Karima
- Germain, Cécile
- Dunning, Alastair
- Pintscher, Lydia
- Kinzler, Daniel
- Anonymous",,10.5281/zenodo.13906
NO,zenodo,Enabling Open Science: Wikidata for Research (Wiki4R),"- Mietchen, Daniel
- Hagedorn, Gregor
- Willighagen, Egon
- Rico, Mariano
- Gómez-Pérez, Asunción
- Aibar, Eduard
- Rafes, Karima
- Germain, Cécile
- Dunning, Alastair
- Pintscher, Lydia
- Kinzler, Daniel",,10.3897/rio.1.e7573
NO,google scholar,Encounters with Sociotechnical Encapsulation: Exploring Diagnostic and Pedagogical Interventions for the study of Literacy Practices in DIY and Maker Initiatives,A Gamba-Bari,https://tspace.library.utoronto.ca/handle/1807/80662,
NO,google scholar,Encounters with Sociotechnical Encapsulation: Exploring Diagnostic and Pedagogical Interventions for the study of Literacy Practices in DIY and Maker Initiatives,AG Bari,http://search.proquest.com/openview/36e201c510808980ad15b5e6c7b3c6bd/1?pq-origsite=gscholar&cbl=18750&diss=y,
NO,google scholar,Encuentro Científico Internacional 2017 de verano,M Montoya,https://eciperu.net/wp-content/uploads/2016/11/libro-de-resc3bamenes-del-eci-2017-de-verano3.pdf,
NO,zenodo,Energy Conscious Builder Design Pattern with C# and Intermediate Language,"- Kayun Chantarasathaporn
- Chonawat Srisa-an",,10.5281/zenodo.1079030
NO,google scholar,Engaging Community and Spatial Humanities for Postindustrial Heritage: The Keweenaw Time Traveler,SF Scarlett and D Lafreniere and DJ Trepal and JDM Arnold…,https://muse.jhu.edu/article/704345/summary,
NO,zenodo,Engaging the broader community in biodiversity research: the concept of the COMBER pilot project for divers in ViBRANT,"- Arvanitidis, Christos
- Faulwetter, Sarah
- Chatzigeorgiou, Georgios
- Penev, Lyubomir
- Bánki, Olaf
- Dailianis, Thanos
- Pafilis, Evangelos
- Kouratoras, Michail
- Chatzinikolaou, Eva
- Fanini, Lucia
- Vasileiadou, Aikaterini
- Pavloudi, Christina
- Vavilis, Panagiotis
- Koulouri, Panagiota
- Dounas, Costas",,10.3897/zookeys.150.2149
NO,zenodo,Enhancing Monitoring and Control of the Fall Armyworm (Spodoptera frugiperda) in the Democratic Republic of the Congo (DR Congo) by Citizen Science.,"- Miankeba, Papy",,10.3897/tdwgproceedings.1.20499
NO,google scholar,Enhancing the Communication of Law: a cross-disciplinary investigation applying information technology,MA Curtotti,https://openresearch-repository.anu.edu.au/handle/1885/110522,
SI,google scholar,Enriching Authoritative Environmental Observations: Findings from AirSensEUR,A Kotsev and S Schade and M Craglia…,https://pdfs.semanticscholar.org/0f97/545242f75bda4fdeb9121870682243abf209.pdf,
NO,zenodo,Enriching Europeana: the Crowdsourcing Platform of the European Library,"- Chung, Hui Ting",,10.5281/zenodo.3259733
NO,google scholar,Entering the matrix: the challenge of regulating Radical Leveling Technologies,JJ Snow,https://apps.dtic.mil/docs/citations/AD1009289,
NO,zenodo,Entomological Collections in the Age of Big Data,"- Andrew Edward Z. Short
- Torsten Dikow
- Corrie S. Moreau",,10.1146/annurev-ento-031616- 035536
NO,google scholar,Entomological Society of Victoria,P Honan,http://entsocvic.org.au/wp-content/uploads/2016/02/Vic_Ent_Soc_newsletter_6.pdf,
NO,google scholar,"Entrepreneurs, squatters and low-tech artisans: DIYbio and Hackerspace models of citizen science between EU, Asia and USA",D Kera,http://www.academia.edu/download/30428252/Entrepreneurs__squatters_and_low-tech_artisans__DIYbio_and_Hackerspace_models.pdf,
NO,google scholar,Entrepreneurship and Entrepreneurial Skills in Europe: Examples to Improve Potential Entrepreneurial Spirit,I Hamburg and A David,https://books.google.com/books?hl=es&lr=&id=JCRpDwAAQBAJ&oi=fnd&pg=PA1&dq=(%22open-source+hardware%22+OR+%22open-design+movement%22+OR+%22open+design%22+OR+%22open+hardware%22+OR+%22open+machine+design%22)+AND+(%22citizen+science%22+OR+%22community+science%22+OR+%22crowd+science%22+OR+%22crowd-sourced+science%22+OR+%22civic+science%22+OR+%22volunteer+monitoring%22)&ots=Vqf6TtWke9&sig=GdkXn6wscGe6hWp7NxPw0_MgRvY,
NO,zenodo,EnviroDIY Mayfly Logger: v0.5b,"- Shannon Hicks
- Anthony Aufdenkampe
- Sara Damiano
- Dave Arscott",,10.5281/zenodo.2572006
NO,google scholar,Environment Control with Low-Cost Microcontrollers and Microprocessors: Application for Green Walls,YA Rivas-Sánchez and MF Moreno-Pérez…,https://www.mdpi.com/2071-1050/11/3/782,
NO,google scholar,Environmental monitoring for health and wellness,MJ McGrath and CN Scanaill,https://link.springer.com/chapter/10.1007/978-1-4302-6014-1_11,
NO,google scholar,Environmental monitoring using low-cost hardware and infrastructureless wireless communication,L Baumgärtner and A Penning and P Lampe…,https://ieeexplore.ieee.org/abstract/document/8601883/,
NO,google scholar,Environmental monitoring with Arduino: building simple devices to collect data about the world around us,E Gertz and P Di Justo,https://books.google.com/books?hl=es&lr=&id=7wm1IW18K3oC&oi=fnd&pg=PR5&dq=(%22open-source+hardware%22+OR+%22open-design+movement%22+OR+%22open+design%22+OR+%22open+hardware%22+OR+%22open+machine+design%22)+AND+(%22citizen+science%22+OR+%22community+science%22+OR+%22crowd+science%22+OR+%22crowd-sourced+science%22+OR+%22civic+science%22+OR+%22volunteer+monitoring%22)&ots=4tvG_UQnKY&sig=cGQmS4SXk23HQ8b02iUnRR5HDxg,
NO,zenodo,eOceans dive-logs for science and conservation: a case study of sharks in Thailand,"- Ward-Paige, C.A.
- Westell, A
- Sing, B",,10.1101/296160
NO,google scholar,Epilogue: the future of economic development between utopias and dystopias,ES Reinert and S Endresen and I Ianos…,https://www.elgaronline.com/view/edcoll/9781782544661/9781782544661.00048.xml,
NO,zenodo,Epityches eupompe,"- Shirai, L. T.",,10.5281/zenodo.1040326
NO,google scholar,Estimating the underwater diffuse attenuation coefficient with a low-cost instrument: The KdUINO DIY buoy,R Bardaji and AM Sánchez and C Simon and M Wernand and J Piera,https://www.mdpi.com/1424-8220/16/3/373,
SI,scopus,Estimating the underwater diffuse attenuation coefficient with a low-cost instrument: The KdUINO DIY buoy,"Bardaji R., Sánchez A.-M., Simon C., Wernand M.R., Piera J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961249487&doi=10.3390%2fs16030373&partnerID=40&md5=8f707565c77f1681bd8d908910b2de48,10.3390/s16030373
NO,zenodo,Estudio de publicaciones científicas  DATASET,"- Serrano Sanz, Fermin
- Clemente Gallardo, Jesús
- Ibáñez, MariCarmen
- Sanz, Francisco
- Ruiz, Gonzalo
- Tarancón Lafita, Alfonso
- Iñiguez, David
- Ferrer, Alfredo
- Cauhé, Elisa",,10.5281/zenodo.247412
NO,google scholar,Ethical recommendations for ocean observation.,M Barbier and A Reitz and K Pabortsava and AC Wölf and T Hahn…,https://oceanbestpractices.net/handle/11329/555,
NO,google scholar,"Ética hacker, seguridad y vigilancia",I Soria Guzmán and F Briones Medina…,http://ru.iiec.unam.mx/3463/,
NO,zenodo,"European Citizen Science via the web: potentials, expectations and way ahead","- Schade, Sven",,10.5281/zenodo.31512
NO,google scholar,European Industry,R Tabarés and T Bartolomé and L Martelloni and D Marmo…,https://www.researchgate.net/profile/Raul_Tabares_Gutierrez/publication/331089020_Towards_the_popularization_of_Open_Manufacturing_in_European_Industry_OPENMAKER_White_Paper_v20/links/5c653758a6fdccb608c13c0e/Towards-the-popularization-of-Open-Manufacturing-in-European-Industry-OPENMAKER-White-Paper-v20.pdf,
NO,google scholar,Evaluating low-cost spectrometer designs for utility in reflectance and transmittance applications,SW Hobbs and DJ Paull and T McDougall,https://www.tandfonline.com/doi/abs/10.1080/01431161.2018.1516315,
NO,zenodo,Evaluating Methods for Transcribing Specimen Labels,"- Phillips, Sarah
- Dillen, Mathias
- Green, Laura
- Groom, Quentin
- Weech, Marie-Helene",,10.3897/biss.3.37306
NO,google scholar,Evaluating wetland hydroperiod for northwest Ohio wetlands using multi-source remote sensing imagery,SL Endres and CN Brooks and MJ Battaglia…,http://digitalcommons.mtu.edu/cgi/viewcontent.cgi?article=1264&context=mtri_p,
NO,zenodo,Evaluation of Existing Volunteer Transcription Systems,"- Le Bras, Gwenaël
- Chagnoux, Simon",,10.5281/zenodo.2578938
NO,zenodo,"Example structure of data sent from a citizen science platformback to a collection management system, multi-determined case","- Le Bras, Gwenaël",,10.5281/zenodo.2579768
NO,zenodo,"Example structure of data sent from a citizen science platformback to a collection management system, simple case","- Le Bras, Gwenaël",,10.5281/zenodo.2579753
NO,zenodo,"Example structure of data sent from a collection management system to a citizen science platform, multi-imaged case","- Le Bras, Gwenaël",,10.5281/zenodo.2579738
NO,zenodo,"Example structure of data sent from a collection management system to a citizen science platform, simple case","- Le Bras, Gwenaël",,10.5281/zenodo.2579686
NO,google scholar,Expanding Equitable Access to Experimental Research and STEM Education by Supporting Open Source Hardware Development,JM Pearce and JC Molloy and S Kuznetsov and S Dosemagen,http://openhardware.science/2019/01/27/expanding-equitable-access-to-experimental-research-and-stem-education-by-supporting-open-source-hardware-development/,
NO,google scholar,Experimental Collaborations,SC Tomás,http://xcol.org/blog/,
NO,google scholar,Expertise and Data in the Articulation of Risk,AR Kelly and CR Miller and SN Fanning and MM Kessler…,https://ir.uiowa.edu/cgi/viewcontent.cgi?article=1224&context=poroi,
NO,google scholar,Exploration and experimentation of the use of new technologies in Health Education and Patient Education,K Sandid,https://www.researchgate.net/profile/Karim_Sandid/publication/328872992_Exploration_and_experimentation_of_the_use_of_new_technologies_in_Health_Education_and_Patient_Education/links/5be7ff964585150b2bae4786/Exploration-and-experimentation-of-the-use-of-new-technologies-in-Health-Education-and-Patient-Education.pdf,
NO,google scholar,Exploring Open Design for the application of Citizen Science; a toolkit methodology,R Phillips and S Baurley,http://researchonline.rca.ac.uk/id/eprint/1860,
NO,google scholar,Extracting and Exploring Examples from semi-structured Text,E Hellerud,https://ntnuopen.ntnu.no/ntnu-xmlui/handle/11250/2410709,
NO,google scholar,"Fab Lab Amersfoort, De War: an innovation history",S Hielscher,http://sro.sussex.ac.uk/id/eprint/54517/1/F_IH_Amersfoort_FabLab.pdf,
NO,google scholar,Fabricating futures: Envisioning scenarios for home fabrication Technology,JG Tanenbaum and K Tanenbaum,https://link.springer.com/chapter/10.1007/978-1-4471-6681-8_11,
NO,zenodo,FAIR vs. GDPR: which will win?,- Rice Robin,,10.5281/zenodo.1306046
NO,google scholar,Fashion openness: applying an open source philosophy to the paradigm of fashion,N Mustonen,https://aaltodoc.aalto.fi/handle/123456789/10357,
NO,zenodo,"Figure 1 from: Arvanitidis C, Faulwetter S, Chatzigeorgiou G, Penev L, Bánki O, Dailianis T, Pafilis E, Kouratoras M, Chatzinikolaou E, Fanini L, Vasileiadou A, Pavloudi C, Vavilis P, Koulouri P, Dounas C (2011) Engaging the broader community in biodiversity research: the concept of the COMBER pilot project for divers in ViBRANT. ZooKeys 150: 211-229. https://doi.org/10.3897/zookeys.150.2149","- Arvanitidis, Christos
- Faulwetter, Sarah
- Chatzigeorgiou, Georgios
- Penev, Lyubomir
- Bánki, Olaf
- Dailianis, Thanos
- Pafilis, Evangelos
- Kouratoras, Michail
- Chatzinikolaou, Eva
- Fanini, Lucia
- Vasileiadou, Aikaterini
- Pavloudi, Christina
- Vavilis, Panagiotis
- Koulouri, Panagiota
- Dounas, Costas",,10.3897/zookeys.150.2149.figure1
NO,zenodo,Figure 1 from: Baker E (2014) Open source data logger for low-cost environmental monitoring. Biodiversity Data Journal 2: e1059. https://doi.org/10.3897/BDJ.2.e1059,"- Baker, Ed",,10.3897/BDJ.2.e1059.figure1
NO,zenodo,"Figure 1 from: Brown B, Hartop E (2017) Mystery mushroom malingerers: Megaselia marquezi Hartop et al. 2015 (Diptera: Phoridae). Biodiversity Data Journal 5: e15052. https://doi.org/10.3897/BDJ.5.e15052","- Brown, Brian
- Hartop, Emily",,10.3897/BDJ.5.e15052.figure1
NO,zenodo,"Figure 1 from: Cardoso A, Tsiamis K, Gervasini E, Schade S, Taucer F, Adriaens T, Copas K, Flevaris S, Galiay P, Jennings E, Josefsson M, López B, Magan J, Marchante E, Montani E, Roy H, von Schomberg R, See L, Quintas M (2017) Citizen Science and Open Data: a model for Invasive Alien Species in Europe. Research Ideas and Outcomes 3: e14811. https://doi.org/10.3897/rio.3.e14811","- Cardoso, Ana Cristina
- Tsiamis, Konstantinos
- Gervasini, Eugenio
- Schade, Sven
- Taucer, Fabio
- Adriaens, Tim
- Copas, Kyle
- Flevaris, Spyridon
- Galiay, Philippe
- Jennings, Eleanor
- Josefsson, Melanie
- López, Bernat
- Magan, John
- Marchante, Elizabete
- Montani, Elena
- Roy, Helen
- von Schomberg, René
- See, Linda
- Quintas, Mafalda",,10.3897/rio.3.e14811.figure1
NO,zenodo,"Figure 1 from: Croce A, Nazzaro R (2017) An atlas of orchids distribution in the Campania region (Italy), a citizen science project for the most charming plant family. Italian Botanist 4: 15-32. https://doi.org/10.3897/ib.4.14916","- Croce, Antonio
- Nazzaro, Roberto",,10.3897/ib.4.14916.figure1
NO,zenodo,"Figure 1 from: Fernandez-Triana J, Buffam J, Beaudin M, Davis H, Fernandez-Galliano A, Griffin E, Lin S-Y, McAulay MK, Richter R, Rodriguez F, Várkonyi G (2017) An annotated and illustrated checklist of Microgastrinae wasps (Hymenoptera, Braconidae) from the Canadian Arctic Archipelago and Greenland. ZooKeys 691: 49-101. https://doi.org/10.3897/zookeys.691.14491","- Fernández-Triana, Jose
- Buffam, Joel
- Beaudin, Melanie
- Davis, Hannah
- Fernández-Galliano, Ana
- Griffin, Emily
- Lin, Shang-Yao
- McAulay, Megan K.
- Richter, Robin
- Rodriguez, Freddy
- Várkonyi, Gergely",,10.3897/zookeys.691.14491.figure1
NO,zenodo,"Figure 1 from: Gerovasileiou V, Dailianis T, Panteri E, Michalakis N, Gatti G, Sini M, Dimitriadis C, Issaris Y, Salomidi M, Filiopoulou I, Doğan A, Thierry de Ville d'Avray L, David R, Ҫinar M, Koutsoubas D, Féral J, Arvanitidis C (2016) CIGESMED for divers: Establishing a citizen science initiative for the mapping and monitoring of coralligenous assemblages in the Mediterranean Sea. Biodiversity Data Journal 4: e8692. https://doi.org/10.3897/BDJ.4.e8692","- Gerovasileiou, Vasilis
- Dailianis, Thanos
- Panteri, Emmanouela
- Michalakis, Nikitas
- Gatti, Giulia
- Sini, Maria
- Dimitriadis, Charalampos
- Issaris, Yiannis
- Salomidi, Maria
- Filiopoulou, Irene
- Doğan, Alper
- Thierry de Ville d'Avray, Laure
- David, Romain
- Ҫinar, Melih Ertan
- Koutsoubas, Drosos
- Féral, Jean-Pierre
- Arvanitidis, Christos",,10.3897/BDJ.4.e8692.figure1
NO,zenodo,"Figure 1 from: Hill A, Guralnick R, Smith A, Sallans A, Gillespie R, Denslow M, Gross J, Murrell Z, Conyers T, Oboyski P, Ball J, Thomer A, Prys-Jones R, de la Torre J, Kociolek P, Fortson L (2012) The notes from nature tool for unlocking biodiversity records from museum records through citizen science. ZooKeys 209: 219-233. https://doi.org/10.3897/zookeys.209.3472","- Hill, Andrew
- Guralnick, Robert
- Smith, Arfon
- Sallans, Andrew
- Gillespie, Rosemary
- Denslow, Michael
- Gross, Joyce
- Murrell, Zack
- Conyers, Tim
- Oboyski, Peter
- Ball, Joan
- Thomer, Andrea
- Prys-Jones, Robert
- de la Torre, Javier
- Kociolek, Patrick
- Fortson, Lucy",,10.3897/zookeys.209.3472.figure1
NO,zenodo,"Figure 1 from: Jouveau S, Delaunay M, Vignes-Lebbe R, Nattier R (2018) A multi-access identification key based on colour patterns in ladybirds (Coleoptera, Coccinellidae). ZooKeys 758: 55-73. https://doi.org/10.3897/zookeys.758.22171","- Jouveau, Séverin
- Delaunay, Mathilde
- Vignes-Lebbe, Régine
- Nattier, Romain",,10.3897/zookeys.758.22171.figure1
NO,zenodo,"Figure 1 from: Maes D, Vanreusel W, Herremans M, Vantieghem P, Brosens D, Gielen K, Beck O, Van Dyck H, Desmet P, Vlinderwerkgroep Natuurpunt (2016) A database on the distribution of butterflies (Lepidoptera) in northern Belgium (Flanders and the Brussels Capital Region). ZooKeys 585: 143-156. https://doi.org/10.3897/zookeys.585.8019","- Maes, Dirk
- Vanreusel, Wouter
- Herremans, Marc
- Vantieghem, Pieter
- Brosens, Dimitri
- Gielen, Karin
- Beck, Olivier
- Van Dyck, Hans
- Desmet, Peter
- Natuurpunt, Vlinderwerkgroep",,10.3897/zookeys.585.8019.figure1
NO,zenodo,"Figure 1 from: Mietchen D, Hagedorn G, Willighagen E, Rico M, Gómez-Pérez A, Aibar E, Rafes K, Germain C, Dunning A, Pintscher L, Kinzler D (2015) Enabling Open Science: Wikidata for Research (Wiki4R). Research Ideas and Outcomes 1: e7573. https://doi.org/10.3897/rio.1.e7573","- Mietchen, Daniel
- Hagedorn, Gregor
- Willighagen, Egon
- Rico, Mariano
- Gómez-Pérez, Asunción
- Aibar, Eduard
- Rafes, Karima
- Germain, Cécile
- Dunning, Alastair
- Pintscher, Lydia
- Kinzler, Daniel",,10.3897/rio.1.e7573.figure1
NO,zenodo,"Figure 1 from: Osawa T, Yamanaka T, Nakatani Y, Nishihiro J, Takahashi S, Mahoro S, Sasaki H (2017) A crowdsourcing approach to collecting photo-based insect and plant observation records. Biodiversity Data Journal 5: e21271. https://doi.org/10.3897/BDJ.5.e21271","- Osawa, Takeshi
- Yamanaka, Takehiko
- Nakatani, Yukinobu
- Nishihiro, Jun
- Takahashi, Shiori
- Mahoro, Suzuki
- Sasaki, Hironobu",,10.3897/BDJ.5.e21271.figure1
NO,zenodo,"Figure 1 from: Roy H, Groom Q, Adriaens T, Agnello G, Antic M, Archambeau A, Bacher S, Bonn A, Brown P, Brundu G, López B, Cleary M, Cogălniceanu D, de Groot M, De Sousa T, Deidun A, Essl F, Fišer Pečnikar Ž, Gazda A, Gervasini E, Glavendekic M, Gigot G, Jelaska S, Jeschke J, Kaminski D, Karachle P, Komives T, Lapin K, Lucy F, Marchante E, Marisavljevic D, Marja R, Martín Torrijos L, Martinou A, Matosevic D, Mifsud C, Motiejūnaitė J, Ojaveer H, Pasalic N, Pekárik L, Per E, Pergl J, Pesic V, Pocock M, Reino L, Ries C, Rozylowicz L, Schade S, Sigurdsson S, Steinitz O, Stern N, Teofilovski A, Thorsson J, Tomov R, Tricarico E, Trichkova T, Tsiamis K, van Valkenburg J, Vella N, Verbrugge L, Vétek G, Villaverde C, Witzell J, Zenetos A, Cardoso A (2018) Increasing understanding of alien species through citizen science (Alien-CSI). Research Ideas and Outcomes 4: e31412. https://doi.org/10.3897/rio.4.e31412","- Roy, Helen
- Groom, Quentin
- Adriaens, Tim
- Agnello, Gaia
- Antic, Marina
- Archambeau, Anne-Sophie
- Bacher, Sven
- Bonn, Aletta
- Brown, Peter
- Brundu, Giuseppe
- López, Bernat
- Cleary, Michelle
- Cogălniceanu, Dan
- de Groot, Maarten
- De Sousa, Tiago
- Deidun, Alan
- Essl, Franz
- Fišer Pečnikar, Živa
- Gazda, Anna
- Gervasini, Eugenio
- Glavendekic, Milka
- Gigot, Guillaume
- Jelaska, Sven
- Jeschke, Jonathan
- Kaminski, Dariusz
- Karachle, Paraskevi
- Komives, Tamas
- Lapin, Katharina
- Lucy, Frances
- Marchante, Elizabete
- Marisavljevic, Dragana
- Marja, Riho
- Martín Torrijos, Laura
- Martinou, Angeliki
- Matosevic, Dinka
- Mifsud, Clare
- Motiejūnaitė, Jurga
- Ojaveer, Henn
- Pasalic, Nataša
- Pekárik, Ladislav
- Per, Esra
- Pergl, Jan
- Pesic, Vladimir
- Pocock, Michael
- Reino, Luís
- Ries, Christian
- Rozylowicz, Laurentiu
- Schade, Sven
- Sigurdsson, Snorri
- Steinitz, Ofer
- Stern, Nir
- Teofilovski, Aco
- Thorsson, Johann
- Tomov, Rumen
- Tricarico, Elena
- Trichkova, Teodora
- Tsiamis, Konstantinos
- van Valkenburg, Johan
- Vella, Noel
- Verbrugge, Laura
- Vétek, Gábor
- Villaverde, Cristina
- Witzell, Johanna
- Zenetos, Argyro
- Cardoso, Ana Cristina",,10.3897/rio.4.e31412.figure1
NO,zenodo,"Figure 1 from: Runnel V, Peterson M, Zirk A (2017) ""My naturesound"" - nature observations with sound recordings. Biodiversity Data Journal 5: e20200. https://doi.org/10.3897/BDJ.5.e20200","- Runnel, Veljo
- Peterson, Marko
- Zirk, Allan",,10.3897/BDJ.5.e20200.figure1
NO,zenodo,"Figure 1 from: Runnel V, Wetzel F, Groom Q, Koch W, Pe'er I, Valland N, Panteri E, Kõljalg U (2016) Summary report and strategy recommendations for EU citizen science gateway for biodiversity data. Research Ideas and Outcomes 2: e11563. https://doi.org/10.3897/rio.2.e11563","- Runnel, Veljo
- Wetzel, Florian
- Groom, Quentin
- Koch, Wouter
- Pe'er, Israel
- Valland, Nils
- Panteri, Emmanouela
- Kõljalg, Urmas",,10.3897/rio.2.e11563.figure1
NO,zenodo,"Figure 1 from: Silvertown J, Harvey M, Greenwood R, Dodd M, Rosewell J, Rebelo T, Ansine J, McConway K (2015)  Crowdsourcing the identification of organisms: A case-study of iSpot. ZooKeys 480: 125-146. https://doi.org/10.3897/zookeys.480.8803","- Silvertown, Jonathan
- Harvey, Martin
- Greenwood, Richard
- Dodd, Mike
- Rosewell, Jon
- Rebelo, Tony
- Ansine, Janice
- McConway, Kevin",,10.3897/zookeys.480.8803.figure1
NO,zenodo,"Figure 1 from: Steeman R, Vanreusel W, Barendse R, Verloove F, Wysmantel N, Van den Bussche W, Gyselinck T, Hendrickx P, Zwaenepoel A, Van Vooren P, Jacobs S, Desmet P, Gielen K, Herremans M, Swinnen K, all plant working groups and plant observers   (2017) Waarnemingen.be – Plant occurrences in Flanders and the Brussels Capital Region, Belgium. PhytoKeys 85: 1-10. https://doi.org/10.3897/phytokeys.85.14925","- Steeman, Roosmarijn
- Vanreusel, Wouter
- Barendse, Rutger
- Verloove, Filip
- Wysmantel, Nico
- Van den Bussche, Walter
- Gyselinck, Thomas
- Hendrickx, Pieter
- Zwaenepoel, Arnout
- Van Vooren, Pierre
- Jacobs, Steven
- Desmet, Peter
- Gielen, Karin
- Herremans, Marc
- Swinnen, Kristijn R.R.",,10.3897/phytokeys.85.14925.figure1
